ID,Customer Age,Churn,CHI Score,CHI Score,Support Cases,Support,SP,SP,Logins,Blog Articles,Views,Days
39,52,-,168,5,8,3,3,0,62,2,589,31
40,52,-,186,4,2,1,2.5,0.5,86,3,2139,4
41,52,-,75,0,0,0,0,0,8,0,0,0
42,51,-,25,0,0,0,0,0,0,0,0,31
43,49,-,124,34,0,0,0,0,10,0,188,31
44,43,-,147,7,1,1,3,3,25,2,138,1
45,51,-,134,1,3,2,3,0,10,0,0,0
46,51,-,77,1,0,0,0,0,1,0,81,6
47,48,-,57,2,0,0,0,0,0,0,2379,31
48,50,-,115,0,0,0,0,0,0,0,300,31
49,44,-,51,1,1,1,3,0,12,0,0,133
50,49,-,85,0,0,0,0,0,1,0,0,12
51,49,-,1,0,0,0,0,0,0,0,0,31
52,45,-,87,3,1,1,3,3,9,0,0,143
53,49,-,210,2,2,3,2.5,0.5,181,3,724,0
54,47,1.0,122,2,3,6,3,0,31,0,122,0
55,48,-,3,0,0,0,0,0,0,0,0,30
56,49,-,179,14,1,1,3,3,54,1,124,1
57,49,-,0,21,0,0,0,0,8,0,0,4
58,35,-,152,0,0,0,0,0,13,0,82,0
59,46,-,0,0,0,0,0,0,0,0,0,31
60,47,1.0,0,26,0,0,0,0,7,0,0,53
61,47,-,7,7,0,0,0,0,4,0,0,31
62,48,-,14,14,0,0,0,0,4,0,5,31
63,47,-,53,27,0,0,0,0,4,0,41,4
64,48,-,39,52,0,0,0,0,1,0,33,5
65,48,-,103,4,0,3,0,3,14,0,9,0
66,13,1.0,122,31,6,4,3,0,94,4,1,9
67,48,-,109,50,0,1,0,2,2,1,221,13
68,43,-,0,0,1,1,2,2,0,0,0,31
69,46,-,10,10,0,0,0,0,10,0,0,31
70,47,-,145,10,0,0,0,0,38,0,5083,0
71,48,-,108,33,0,0,0,0,6,0,993,31
72,45,-,45,0,0,0,0,0,7,0,13,3
73,47,-,193,0,0,0,0,0,47,1,83,1
74,47,-,101,39,0,0,0,0,24,1,2,2
75,47,-,17,10,0,0,0,0,4,0,2,10
76,45,-,1,70,0,0,0,0,7,1,0,3
77,46,-,158,2,0,1,0,3,5,4,12,3
78,38,-,198,15,0,0,0,0,21,0,172,0
79,38,-,77,2,0,0,0,0,3,0,716,1
80,47,-,82,0,0,0,0,0,11,0,0,3
81,46,-,94,10,1,1,3,3,42,0,63,24
82,28,-,152,4,0,0,0,0,19,0,9,2
83,46,-,125,15,1,1,3,3,11,0,100,3
84,47,-,35,0,0,0,0,0,0,0,0,9
85,43,-,166,1,0,0,0,0,10,1,1304,1
86,46,-,61,11,1,1,3,3,10,0,35,15
87,42,-,97,2,0,1,0,3,28,0,0,0
88,46,-,74,0,0,0,0,0,1,0,0,3
89,46,-,4,4,1,1,2,2,10,0,0,31
90,46,-,145,0,0,0,0,0,98,0,629,0
91,45,-,75,17,0,0,0,0,1,1,0,3
92,46,-,79,13,0,0,0,0,4,0,4,22
93,46,-,175,10,0,0,0,0,22,0,1419,0
94,44,1.0,0,12,0,0,0,0,1,0,0,90
95,46,-,6,6,0,0,0,0,10,0,0,31
96,46,-,85,36,0,0,0,0,2,1,37,4
97,45,-,59,41,0,0,0,0,0,0,57,31
98,46,-,109,13,0,0,0,0,1,2,158,9
99,44,-,87,45,0,0,0,0,10,1,4,30
100,45,-,161,10,0,0,0,0,10,4,71,0
101,41,-,0,0,0,0,0,0,0,0,5,31
102,45,-,169,8,9,5,3,0,54,0,345,0
103,44,-,88,22,0,1,0,3,30,0,5,2
104,28,-,0,0,0,0,0,0,0,0,0,31
105,42,1.0,26,13,0,0,0,0,0,0,16,5
106,38,-,0,0,0,0,0,0,0,0,0,30
107,45,-,155,6,0,0,0,0,1,4,127,0
108,45,-,71,11,0,0,0,0,15,1,0,0
109,40,-,0,125,0,0,0,0,8,0,216,6
110,44,-,0,6,0,0,0,0,10,0,0,72
111,29,-,103,8,0,0,0,0,3,3,15,70
112,45,-,39,23,0,0,0,0,2,0,0,31
113,43,-,42,10,0,0,0,0,6,0,6,30
114,45,-,73,6,0,0,0,0,6,0,1,24
115,45,-,58,38,0,0,0,0,6,0,20,5
116,45,-,68,7,1,1,0,0,22,0,7,31
117,45,-,89,5,0,2,0,3,61,0,1013,0
118,45,-,138,4,0,0,0,0,8,0,534,29
119,42,-,0,0,0,0,0,0,0,0,0,31
120,45,-,90,0,0,0,0,0,7,0,73,0
121,45,-,0,0,0,0,0,0,0,0,0,31
122,43,-,48,11,0,0,0,0,3,0,0,3
123,44,-,10,25,0,1,0,2,4,0,5,18
124,44,-,106,0,0,0,0,0,7,0,30,4
125,44,-,128,35,0,3,0,3,7,1,0,15
126,45,-,90,5,0,0,0,0,21,0,39,2
127,45,-,47,21,0,0,0,0,12,0,0,3
128,41,-,31,26,0,0,0,0,0,0,32,31
129,45,-,191,1,0,0,0,0,12,1,28,0
130,45,-,45,10,0,0,0,0,9,0,0,2
131,45,-,121,90,1,1,3,3,184,4,17,7
132,44,-,76,32,0,0,0,0,18,0,2,31
133,44,-,50,25,0,0,0,0,4,0,100,187
134,43,-,101,84,0,0,0,0,6,1,38,30
135,44,-,74,38,0,0,0,0,0,2,243,0
136,44,-,105,5,0,0,0,0,1,0,669,18
137,44,-,0,0,0,0,0,0,0,0,0,31
138,41,-,60,0,0,0,0,0,0,0,0,30
139,44,-,55,73,2,1,3,0,39,3,45,1
140,43,-,91,50,0,3,0,3,18,2,2034,4
141,45,-,19,1,0,0,0,0,11,0,0,3
142,43,-,15,27,0,0,0,0,2,0,0,11
143,44,-,59,0,0,0,0,0,14,1,0,0
144,43,-,70,6,0,0,0,0,4,3,0,1
145,44,-,180,2,0,0,0,0,36,5,1698,0
146,42,-,0,2,0,0,0,0,0,0,0,30
147,43,-,38,11,0,0,0,0,0,0,6,0
148,42,-,116,1,0,0,0,0,12,0,61,31
149,44,-,95,15,0,0,0,0,11,0,6,10
150,44,-,181,2,0,0,0,0,20,1,1544,0
151,43,-,90,10,0,0,0,0,16,0,0,0
152,40,-,120,2,1,1,2,2,35,0,35,3
153,38,1.0,116,1,1,0,3,0,41,1,0,26
154,43,-,0,0,0,0,0,0,0,0,3,31
155,43,-,193,15,3,1,3,0.5,9,1,7657,0
156,41,1.0,8,0,0,0,0,0,0,0,0,31
157,43,-,105,0,0,0,0,0,4,0,0,2
158,42,-,33,12,0,0,0,0,2,0,1,5
159,43,-,93,20,0,0,0,0,4,0,3745,4
160,42,-,80,8,0,0,0,0,0,0,16,21
161,42,-,81,0,0,0,0,0,2,0,2,3
162,43,-,172,37,0,0,0,0,11,2,346,2
163,42,-,36,4,0,0,0,0,1,0,3,27
164,43,-,188,0,0,1,0,3,5,0,1708,0
165,1,-,0,0,0,0,0,0,0,0,0,0
166,43,-,51,35,0,0,0,0,5,0,0,89
167,43,-,83,61,0,0,0,0,8,0,3,2
168,42,-,88,7,0,0,0,0,10,0,2611,1
169,42,-,40,0,0,0,0,0,1,0,3,23
170,43,-,68,1,0,0,0,0,3,0,0,67
171,42,-,0,0,0,0,0,0,0,0,0,31
172,43,-,136,9,0,0,0,0,21,0,200,5
173,43,-,171,47,3,3,3,3,85,0,3,0
174,42,-,63,20,0,0,0,0,4,0,0,31
175,43,-,63,24,0,0,0,0,0,0,0,31
176,43,-,122,44,0,1,0,3,3,3,705,4
177,42,-,60,0,1,1,3,3,30,0,0,0
178,42,-,76,8,0,0,0,0,12,0,158,31
179,42,-,44,11,0,0,0,0,3,0,0,1
180,42,-,114,18,1,0,3,0,33,6,0,4
181,42,-,69,69,0,0,0,0,6,0,0,31
182,42,-,85,0,0,0,0,0,25,0,0,3
183,42,-,0,17,0,0,0,0,1,0,0,25
184,42,-,131,2,0,0,0,0,2,0,489,31
185,41,-,60,29,0,0,0,0,4,0,285,10
186,42,-,189,2,2,2,3,3,32,2,145,0
187,42,-,178,1,1,0,3,0,21,1,104,0
188,42,-,105,5,0,0,0,0,9,0,0,0
189,42,-,148,14,1,0,2,1,28,2,723,0
190,42,-,0,0,0,0,0,0,0,0,1,31
191,41,-,104,10,0,0,0,0,6,0,2,0
192,42,-,44,25,0,0,0,0,2,0,0,95
193,42,-,118,79,0,0,0,0,11,0,0,18
194,42,-,16,10,2,2,3,3,19,0,0,92
195,42,-,183,31,5,3,3,0,82,4,124,0
196,42,-,120,10,0,0,0,0,5,0,166,0
197,40,-,107,7,1,1,3,3,33,4,22,3
198,40,-,165,30,2,2,3,3,52,0,28,1
199,41,-,130,18,0,0,0,0,13,2,380,0
200,40,1.0,130,0,1,1,3,3,7,0,87,4
201,41,-,145,18,4,3,3,0,15,0,33,3
202,40,-,115,10,0,0,0,0,16,1,5,3
203,39,-,15,4,0,0,0,0,0,0,14,31
204,36,1.0,105,1,0,0,0,0,26,0,61,1
205,40,-,73,50,0,0,0,0,10,0,13,31
206,13,-,121,15,0,0,0,0,1,1,266,0
207,13,-,3,0,2,1,3,3,19,0,0,16
208,7,-,141,22,2,1,3,0,70,0,72,3
209,14,-,165,67,2,1,3,0,97,15,1,9
210,14,-,36,44,0,1,0,3,6,0,150,2
211,12,1.0,143,37,0,0,0,0,50,3,18,28
212,14,-,0,0,0,0,0,0,0,0,0,30
213,14,-,124,6,0,0,0,0,7,0,28,7
214,14,-,150,50,0,0,0,0,13,2,76,0
215,14,-,109,3,0,0,0,0,2,0,463,9
216,13,-,118,1,1,1,3,3,41,2,5,0
217,12,-,215,8,2,1,3,1,17,4,4914,0
218,14,-,150,44,0,0,0,0,1,4,14868,16
219,11,-,158,32,0,0,0,0,33,0,41,0
220,11,-,87,20,0,0,0,0,27,0,76,0
221,14,-,173,9,1,1,3,0,27,0,785,0
222,12,-,119,16,0,0,0,0,45,2,301,0
223,13,-,167,10,0,0,0,0,10,0,29,3
224,14,-,115,16,0,0,0,0,8,0,11,7
225,13,-,165,77,0,1,0,3,42,0,117,4
226,14,-,59,11,0,0,0,0,72,0,11,2
227,13,1.0,0,0,0,0,0,0,0,0,1,31
228,14,-,5,21,0,0,0,0,1,0,711,15
229,14,-,162,53,0,0,0,0,23,2,4,18
230,14,-,174,3,0,3,0,3,30,2,26,0
231,14,-,192,8,1,0,3,1,84,1,5,0
232,14,-,162,5,2,2,3,0,1,0,224,4
233,14,-,172,3,1,2,3,0,39,0,229,0
234,14,-,167,7,1,1,3,3,39,7,436,0
235,8,-,129,9,0,1,0,3,61,0,182,2
236,14,-,78,6,0,0,0,0,9,0,9,0
237,14,-,53,27,0,0,0,0,0,0,13,7
238,14,-,75,9,0,0,0,0,13,0,8,29
239,14,1.0,26,1,0,0,0,0,4,0,10,3
240,13,-,0,22,0,0,0,0,0,0,4,30
241,13,-,120,44,0,0,0,0,49,1,99,0
242,12,-,178,33,5,1,3,0,1,2,114,1
243,13,-,188,1,0,1,0,3,8,1,41,8
244,1,-,0,0,0,0,0,0,0,0,0,0
245,14,-,133,0,2,2,3,3,39,0,45,3
246,13,-,35,81,0,0,0,0,12,2,8,7
247,12,-,113,2,0,1,0,3,3,1,11,1
248,13,-,171,21,0,0,0,0,54,3,1091,1
249,10,-,71,0,1,0,3,0,6,0,10,1
250,14,-,165,30,0,1,0,3,41,2,54,2
251,14,-,93,27,0,2,0,3,37,0,333,0
252,14,-,138,7,1,1,3,3,39,3,31,3
253,13,-,151,1,0,0,0,0,4,1,2,14
254,1,-,0,0,0,0,0,0,0,0,0,0
255,14,-,144,28,2,3,3,0,7,3,509,6
256,11,-,59,0,0,0,0,0,2,0,84,3
257,12,1.0,0,0,0,0,0,0,0,0,0,31
258,14,-,131,9,0,0,0,0,9,1,40,1
259,14,-,134,1,0,0,0,0,3,0,19,0
260,13,-,106,8,3,1,3,0,20,1,29,0
261,12,-,130,13,1,3,3,0,20,1,278,2
262,13,-,88,9,0,0,0,0,11,0,28,2
263,13,-,187,47,4,2,3,0,28,1,44,0
264,13,-,176,14,0,0,0,0,15,4,102,0
265,14,-,86,8,0,0,0,0,8,4,0,4
266,12,1.0,70,35,0,0,0,0,0,0,26,30
267,13,1.0,147,1,2,2,3,3,24,0,214,1
268,14,-,89,56,0,0,0,0,6,1,30,30
269,14,-,137,28,0,0,0,0,49,2,34,0
270,13,-,39,41,2,2,3,3,66,1,10,109
271,12,-,6,36,0,0,0,0,3,0,0,5
272,14,-,0,0,0,0,0,0,4,0,0,31
273,14,-,138,15,1,1,3,3,34,6,835,9
274,14,-,128,3,0,1,0,3,39,0,105,0
275,10,-,177,19,0,1,0,3,18,0,43,0
276,14,-,140,0,0,0,0,0,50,0,104,0
277,5,-,112,3,0,2,0,3,36,2,149,0
278,13,-,0,0,0,0,0,0,0,0,2,31
279,12,-,0,0,0,0,0,0,0,0,8,31
280,14,-,68,10,6,6,3,3,48,0,681,3
281,14,-,130,0,0,0,0,0,4,0,1603,3
282,14,-,145,11,3,7,3,0,25,1,244,1
283,12,1.0,77,5,2,1,3,0,1,5,1,5
284,14,-,116,8,0,0,0,0,1,2,20,8
285,18,1.0,155,13,0,0,0,0,76,3,63,0
286,14,-,136,105,3,2,3,0,342,0,0,1
287,13,-,18,1,0,0,0,0,0,0,2,30
288,13,-,35,20,1,1,3,3,69,0,16,1
289,13,-,41,29,4,3,3,0,12,1,5,2
290,13,-,165,0,0,0,0,0,6,1,5322,0
291,12,-,180,12,3,5,3,0.1,34,2,57,0
292,14,-,61,49,0,0,0,0,15,5,21,4
293,13,-,143,4,0,0,0,0,1,0,55,20
294,13,1.0,78,2,0,0,0,0,16,2,1,11
295,14,-,32,44,2,2,3,3,0,3,3,3
296,14,-,85,17,4,5,3,0.1,83,0,3,0
297,11,-,231,0,1,2,3,0.3,48,1,321,0
298,14,-,148,19,0,0,0,0,4,0,27,20
299,14,1.0,14,101,0,0,0,0,4,1,16,9
300,12,1.0,0,8,0,1,0,3,3,0,8,7
301,13,-,40,12,0,0,0,0,20,0,1,17
302,8,-,16,2,0,0,0,0,4,0,5,32
303,13,-,94,35,0,1,0,3,13,0,139,3
304,10,-,34,10,0,0,0,0,0,0,128,31
305,12,-,0,35,0,0,0,0,12,0,1384,7
306,13,-,69,6,0,0,0,0,2,0,16,31
307,19,-,61,61,0,1,0,3,24,0,0,7
308,14,-,143,2,0,1,0,3,9,1,226,0
309,11,-,101,50,0,0,0,0,46,2,154,5
310,12,-,142,25,1,2,3,0,25,4,2,2
311,14,-,120,0,0,0,0,0,2,0,66,2
312,13,-,61,1,0,0,0,0,2,0,44,30
313,14,-,61,26,0,0,0,0,0,0,10,31
314,13,-,118,12,0,1,0,3,41,0,1,2
315,6,-,20,1,0,0,0,0,2,0,15,4
316,13,-,76,4,0,0,0,0,5,1,1,0
317,12,1.0,0,0,0,0,0,0,0,0,0,31
318,14,-,0,42,0,0,0,0,14,0,14,1
319,12,1.0,0,16,0,0,0,0,4,0,12,2
320,13,-,42,17,0,0,0,0,6,0,15,9
321,14,-,105,57,0,0,0,0,41,4,37,1
322,14,-,99,10,0,0,0,0,3,0,974,9
323,12,-,122,2,0,0,0,0,16,1,18,4
324,12,1.0,105,36,0,1,0,3,1,1,66,6
325,14,-,156,4,0,0,0,0,28,2,169,0
326,9,-,75,1,0,0,0,0,67,0,22,12
327,5,-,118,6,0,1,0,3,29,5,191,5
328,14,-,56,4,0,0,0,0,2,0,786,4
329,14,-,177,6,2,1,3,0,1,14,8839,0
330,13,-,185,37,2,2,2.5,2.5,8,2,12,0
331,9,-,83,9,2,1,3,0,18,0,200,2
332,12,-,78,11,0,0,0,0,14,0,420,4
333,13,-,173,44,0,0,0,0,19,1,31,7
334,12,-,58,1,0,0,0,0,2,0,33,31
335,12,1.0,0,64,0,0,0,0,7,3,19,19
336,9,-,87,21,0,1,0,3,15,2,48,12
337,13,-,127,11,1,0,3,0,4,0,7323,1
338,12,-,186,2,1,0,3,0,85,0,34,1
339,13,1.0,54,19,0,0,0,0,0,1,426,31
340,14,-,129,13,0,0,0,0,11,2,165,2
341,13,-,73,10,0,0,0,0,3,0,156,9
342,13,-,82,38,0,0,0,0,0,1,10,6
343,14,-,65,40,1,1,3,3,10,0,313,3
344,14,-,58,52,0,1,0,3,32,0,55,1
345,12,1.0,58,41,0,0,0,0,31,5,8,9
346,14,-,0,0,0,0,0,0,0,0,0,31
347,14,-,143,5,0,0,0,0,23,1,196,0
348,14,-,25,24,0,0,0,0,2,0,0,31
349,14,-,173,3,3,0,3,0.3,8,0,754,0
350,14,-,3,0,1,1,3,3,3,0,0,31
351,13,-,79,5,0,2,0,3,2,0,65,0
352,14,-,78,33,0,2,0,3,17,5,703,10
353,14,-,95,3,0,0,0,0,12,0,76,2
354,13,-,139,29,0,0,0,0,4,1,244,1
355,12,-,88,0,0,0,0,0,4,0,146,2
356,13,-,167,3,1,1,2,2,43,2,227,0
357,12,1.0,203,25,7,6,2.9,0.1,88,2,28322,3
358,11,-,166,10,3,2,3,0,73,1,30,0
359,11,-,158,15,5,1,3,0,34,1,137,0
360,11,-,70,1,0,0,0,0,2,0,43,5
361,13,-,125,23,0,0,0,0,3,0,127,6
362,13,-,111,2,0,1,0,3,2,0,0,0
363,12,1.0,0,0,0,0,0,0,0,0,0,31
364,11,-,166,9,0,0,0,0,8,1,933,3
365,12,-,45,67,0,0,0,0,4,1,1,5
366,13,1.0,135,39,0,0,0,0,12,1,39,0
367,10,-,119,2,0,0,0,0,11,6,18,2
368,12,-,117,5,0,0,0,0,14,4,1,5
369,12,1.0,14,42,0,0,0,0,3,0,4,34
370,12,-,96,48,0,5,0,3,7,0,12,3
371,12,1.0,0,0,0,0,0,0,0,0,0,31
372,13,-,136,14,3,2,3,0,69,1,107,1
373,13,-,163,3,10,8,3,0,174,11,57,2
374,2,-,0,0,0,0,0,0,0,0,0,0
375,10,-,177,15,0,0,0,0,0,0,209,3
376,3,-,0,0,0,0,0,0,12,0,0,0
377,12,-,135,13,0,1,0,3,9,2,2,12
378,5,-,61,3,0,0,0,0,1,12,12,7
379,10,-,200,13,3,1,3,0,25,2,2388,0
380,13,-,155,20,1,1,2,2,200,0,198,1
381,12,1.0,43,28,0,0,0,0,2,0,2,60
382,11,-,75,1,0,0,0,0,4,1,441,17
383,13,-,155,19,5,4,3.4,0.4,4,0,695,0
384,10,1.0,30,39,0,0,0,0,2,1,9,36
385,13,-,192,5,0,0,0,0,16,1,237,0
386,12,-,101,27,0,3,0,2.7,44,0,112,2
387,13,1.0,61,12,0,0,0,0,2,0,28,31
388,13,-,189,22,0,0,0,0,73,3,51,0
389,12,-,141,58,0,2,0,3,1,1,5,0
390,13,-,150,20,0,0,0,0,67,3,4,1
391,12,-,158,16,0,0,0,0,62,5,13,0
392,13,-,253,11,2,1,3,0,9,5,1113,0
393,11,-,124,11,0,1,0,3,22,1,30,1
394,13,1.0,128,18,0,0,0,0,2,2,31,6
395,13,-,83,38,0,0,0,0,4,0,49,31
396,13,-,55,35,0,0,0,0,12,0,0,31
397,10,-,121,47,2,0,3,0,0,1,2008,4
398,13,-,103,2,0,0,0,0,20,1,102,7
399,13,-,161,51,0,1,0,3,15,1,2,6
400,19,-,0,0,0,0,0,0,0,0,0,31
401,12,-,180,1,2,0,3,0.5,8,1,493,1
402,12,1.0,8,7,0,0,0,0,0,0,0,31
403,11,-,121,0,2,1,3,0,23,0,93,0
404,12,-,39,25,0,0,0,0,0,0,52,31
405,13,-,170,35,1,1,3,0,30,2,519,0
406,8,-,119,8,0,0,0,0,19,0,1025,3
407,5,-,0,43,2,1,3,0,27,1,8,5
408,13,-,122,28,0,0,0,0,0,3,60,0
409,12,-,98,14,0,0,0,0,3,0,5,0
410,11,-,168,8,0,1,0,3,11,1,115,1
411,13,-,252,13,8,2,3,0,36,1,728,0
412,12,1.0,5,31,0,0,0,0,1,0,38,4
413,13,-,0,0,0,0,0,0,2,0,4,31
414,13,-,221,36,0,3,0,3,37,1,178,0
415,13,-,0,21,0,1,0,3,10,0,6,5
416,13,-,0,0,0,0,0,0,0,0,8,31
417,13,-,70,21,0,0,0,0,6,0,173,30
418,13,-,154,2,0,0,0,0,25,1,26,3
419,12,-,61,1,0,0,0,0,4,0,29,11
420,13,-,157,2,2,2,3,3,80,1,232,2
421,13,-,41,10,0,0,0,0,0,0,22,31
422,13,-,73,19,2,2,3,3,61,0,67,9
423,10,-,0,0,0,0,0,0,0,0,0,31
424,13,-,131,4,0,0,0,0,48,0,13,3
425,13,-,0,25,0,0,0,0,2,0,0,27
426,13,-,96,11,0,0,0,0,19,0,17,0
427,13,-,0,0,0,0,0,0,0,0,0,31
428,13,-,201,1,10,1,3,0,56,0,5933,0
429,13,-,137,9,0,2,0,3,22,2,43,0
430,12,1.0,42,1,0,0,0,0,0,0,103,31
431,13,-,228,2,3,1,4,0.8,28,2,203,5
432,12,-,133,5,1,1,3,3,6,0,923,2
433,12,-,77,10,0,0,0,0,4,0,87,7
434,13,-,186,2,3,2,3,0,3,2,36,0
435,13,-,67,46,0,0,0,0,8,1,2,29
436,13,-,81,36,0,0,0,0,12,1,118,2
437,13,-,154,53,2,0,3,0,23,1,59,0
438,13,-,160,2,0,0,0,0,24,1,64,4
439,12,1.0,9,9,1,1,3,3,2,0,64,31
440,13,-,0,0,0,0,0,0,0,0,0,31
441,13,-,125,47,0,0,0,0,0,7,347,2
442,11,-,152,30,2,2,3,3,2,1,6,1
443,13,-,53,15,0,0,0,0,2,0,69,15
444,13,-,0,0,0,0,0,0,0,0,2,31
445,12,-,158,20,1,0,3,0,36,0,13,1
446,12,-,120,1,0,0,0,0,1,0,0,8
447,12,-,57,8,0,0,0,0,10,0,36,31
448,13,-,69,1,0,0,0,0,5,0,24,1
449,13,-,113,7,1,1,3,3,6,1,130,10
450,13,-,142,2,0,2,0,2.5,30,0,34,0
451,13,-,127,49,4,3,3,0,4,0,47,25
452,13,-,151,32,1,1,3,0,42,2,286,0
453,13,1.0,20,1,0,0,0,0,0,0,44,31
454,11,-,172,2,0,9,0,3,31,2,134,1
455,12,1.0,70,8,0,0,0,0,22,2,25,2
456,12,-,76,14,1,1,3,0,7,0,12,7
457,12,1.0,26,23,0,0,0,0,2,0,3,17
458,9,1.0,85,0,0,0,0,0,2,0,12,1
459,12,-,74,34,0,0,0,0,24,0,76,2
460,13,-,90,11,0,0,0,0,5,0,37,23
461,12,1.0,67,21,0,0,0,0,6,0,81,2
462,13,-,115,3,0,0,0,0,4,0,52,3
463,12,-,102,38,1,0,3,0,11,1,46,3
464,12,-,87,13,0,1,0,2,17,0,43,4
465,12,-,212,14,4,1,3,0,77,0,27,2
466,7,-,237,34,4,1,3,0,56,2,233,0
467,4,-,79,79,1,1,3,3,41,2,0,0
468,10,-,129,22,0,0,0,0,97,0,172,2
469,12,-,85,47,1,1,3,3,29,1,42,28
470,13,-,158,13,0,0,0,0,20,7,130,0
471,12,-,149,16,2,0,3,0,15,1,1583,0
472,13,1.0,110,15,3,3,3,3,10,1,15,0
473,12,1.0,205,0,0,1,0,2,46,1,412,1
474,12,-,148,2,0,0,0,0,12,0,229,0
475,12,-,0,0,0,0,0,0,0,0,367,31
476,13,-,43,25,0,0,0,0,1,0,1,24
477,11,-,220,25,0,0,0,0,32,3,180,0
478,12,-,158,40,1,1,3,3,28,1,167,1
479,11,-,105,11,0,1,0,3,17,0,72,2
480,11,-,48,21,0,1,0,3,10,1,30,15
481,11,-,184,31,2,0,3,0.5,13,1,152,3
482,12,-,159,17,0,0,0,0,14,2,1035,0
483,12,-,163,26,7,3,3,0,43,3,168,1
484,11,-,125,1,0,0,0,0,62,3,851,0
485,7,-,137,28,2,2,3,3,31,0,12,1
486,13,-,217,6,1,1,4,0.5,2,2,6593,0
487,13,-,98,7,0,0,0,0,16,0,8,8
488,12,-,0,0,0,0,0,0,0,0,0,31
489,12,-,206,16,1,1,3,3,41,0,388,0
490,11,-,68,0,0,0,0,0,8,0,58,11
491,13,-,164,9,0,0,0,0,30,3,102,0
492,12,-,98,2,0,0,0,0,3,0,785,0
493,12,-,132,9,0,0,0,0,8,3,94,6
494,12,1.0,127,7,2,2,2,2,54,0,82,2
495,13,-,81,22,2,2,3,3,22,0,0,1
496,13,-,118,33,0,0,0,0,12,1,18,5
497,12,-,62,0,0,0,0,0,14,0,6,2
498,13,-,122,2,0,0,0,0,26,0,31,0
499,13,-,37,28,0,0,0,0,0,0,16,31
500,13,-,153,9,0,0,0,0,23,2,138,2
501,12,-,134,26,0,0,0,0,35,1,123,23
502,12,-,94,47,0,1,0,3,16,1,83,1
503,12,-,279,6,6,0,3,0.3,37,6,1154,0
504,12,-,50,18,2,1,3,0,132,0,0,2
505,12,-,202,36,1,2,0,3,42,0,374,0
506,12,-,170,13,2,0,3.5,0.5,129,1,106,0
507,13,-,91,27,0,0,0,0,2,1,185,14
508,6,-,0,0,0,0,0,0,6,0,0,33
509,13,-,44,0,0,0,0,0,0,0,64,31
510,11,-,114,2,0,1,0,3,4,2,77,4
511,12,1.0,129,1,0,0,0,0,1,1,3,2
512,13,-,134,2,1,1,3,3,47,0,147,1
513,5,-,128,3,1,1,3,3,70,1,0,0
514,11,-,57,72,0,0,0,0,15,1,183,2
515,12,-,89,1,2,1,2.5,0.5,37,2,5,0
516,13,-,144,7,0,0,0,0,12,1,70,31
517,13,-,92,71,0,0,0,0,16,1,30,31
518,10,-,112,15,0,0,0,0,71,0,4,18
519,12,-,135,61,2,2,2.5,2.5,31,2,56,23
520,12,-,37,38,0,0,0,0,10,3,94,2
521,12,-,122,4,0,0,0,0,3,3,159,0
522,13,-,28,30,0,0,0,0,6,0,42,11
523,12,1.0,0,0,0,0,0,0,0,0,0,31
524,12,1.0,152,36,0,0,0,0,5,0,142,20
525,13,-,148,2,0,0,0,0,1,0,1055,0
526,13,-,0,0,1,1,0,0,24,0,0,31
